,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,upernavik,68.0,GL,1538146201,100.0,72.79,-56.15,33.13,10.22
1,bluff,0.0,AU,1538146202,69.0,-23.58,149.07,66.52,9.89
2,urzhum,88.0,RU,1538146203,88.0,57.11,50.0,44.47,13.24
3,butaritari,48.0,KI,1538146205,100.0,3.07,172.79,85.15,8.99
4,trelew,0.0,AR,1538146206,65.0,-43.25,-65.31,60.94,18.84
5,lorengau,44.0,PG,1538146207,100.0,-2.02,147.27,82.63,10.0
6,ossora,0.0,RU,1538146208,100.0,59.24,163.07,35.56,3.4
7,rikitea,0.0,PF,1538146209,100.0,-23.12,-134.97,71.74,5.41
8,sola,75.0,FI,1538144400,60.0,62.78,29.36,41.0,12.75
9,minot,0.0,US,1538146212,66.0,48.23,-101.3,32.95,11.45
10,hobart,40.0,AU,1538143200,80.0,-42.88,147.33,42.8,8.05
11,,,,,,,,,
12,port alfred,0.0,ZA,1538146215,71.0,-33.59,26.89,67.51,22.08
13,pagudpud,64.0,PH,1538146216,94.0,18.56,120.79,81.55,14.92
14,castro,92.0,CL,1538146218,99.0,-42.48,-73.76,50.86,9.78
15,aseri,88.0,EE,1538146219,84.0,59.45,26.87,47.89,13.47
16,ancud,92.0,CL,1538146220,99.0,-41.87,-73.83,51.04,8.99
17,eyl,36.0,SO,1538146221,70.0,7.98,49.82,82.45,18.28
18,cape town,40.0,ZA,1538143200,51.0,-33.93,18.42,62.6,12.75
19,pitiquito,0.0,MX,1538146224,43.0,30.68,-112.05,76.78,4.29
20,erzin,0.0,TR,1538144400,48.0,36.95,36.2,86.0,11.41
21,,,,,,,,,
22,goderich,56.0,CA,1538146227,88.0,43.74,-81.71,60.04,18.5
23,hermanus,8.0,ZA,1538146228,52.0,-34.42,19.24,59.59,11.01
24,neiafu,75.0,TO,1538143200,78.0,-18.65,-173.98,75.2,11.41
25,porto torres,0.0,IT,1538144400,60.0,40.84,8.4,75.2,9.17
26,zhigansk,44.0,RU,1538146232,100.0,66.77,123.37,34.39,2.62
27,yellowknife,90.0,CA,1538145720,93.0,62.45,-114.38,32.0,11.41
28,hofn,92.0,IS,1538146234,97.0,64.25,-15.21,46.81,35.39
29,albany,90.0,US,1538143980,86.0,42.65,-73.75,53.96,4.7
30,punta arenas,0.0,CL,1538143200,65.0,-53.16,-70.91,44.6,4.7
31,englewood,90.0,US,1538145360,75.0,39.65,-104.99,46.58,4.7
32,toora-khem,12.0,RU,1538146239,91.0,52.47,96.11,37.36,2.17
33,mataura,64.0,NZ,1538146240,64.0,-46.19,168.86,46.72,14.25
34,broken hill,76.0,AU,1538146241,58.0,-31.97,141.45,52.57,13.47
35,cabo san lucas,75.0,MX,1538142300,83.0,22.89,-109.91,77.0,3.06
36,ushuaia,75.0,AR,1538143200,36.0,-54.81,-68.31,48.2,11.41
37,rio gallegos,0.0,AR,1538143200,49.0,-51.62,-69.22,48.2,4.7
38,cidreira,48.0,BR,1538146246,95.0,-30.17,-50.22,69.58,16.82
39,nabire,88.0,ID,1538146247,95.0,-3.36,135.5,69.13,2.17
40,port elizabeth,90.0,US,1538142960,93.0,39.31,-74.98,66.02,11.41
41,rosetta,0.0,EG,1538143200,52.0,31.4,30.42,89.6,6.93
42,san cristobal,20.0,EC,1538143200,62.0,-0.39,-78.55,57.2,12.75
43,busselton,32.0,AU,1538146252,100.0,-33.64,115.35,60.94,19.17
44,marawi,0.0,PH,1538146253,96.0,8.0,124.29,64.81,1.95
45,,,,,,,,,
46,misawa,75.0,JP,1538144160,100.0,40.75,141.38,55.4,5.82
47,zeya,0.0,RU,1538146256,79.0,53.74,127.27,41.95,2.62
48,puerto ayora,75.0,EC,1538143200,78.0,-0.74,-90.35,73.4,10.29
49,ahipara,0.0,NZ,1538146259,100.0,-35.17,173.16,43.39,3.85
50,acaponeta,100.0,MX,1538146260,100.0,22.49,-105.36,76.15,8.43
51,otrado-kubanskoye,48.0,RU,1538146261,50.0,45.25,40.84,63.64,3.06
